PC	r2	rho	lc	up
1	3.27751574741405e-05	0.0057249591678968	0.00214661223793075	0.00930315948782092
2	3.54860102289705e-05	-0.00164646677960214	-0.00522482690224912	0.00193193550855446
3	4.49006513066425e-05	-0.00306832861225054	-0.00664664653997255	0.000510067893900097
4	4.93607117189293e-05	-0.00211188546544144	-0.0056902333692532	0.00146651652301525
5	5.54851148004178e-05	-0.00247475313492404	-0.00605309043673867	0.00110364754434359
6	5.63222478880564e-05	0.000914949833805541	-0.00266344979222615	0.00449332602820849
7	5.75245265379278e-05	-0.00109648461517835	-0.00467485717844108	0.00248191602876169
8	6.00115302416512e-05	0.00157702372295982	-0.00200137847700269	0.00515538553581907
9	6.00290141992182e-05	-0.000132226913069672	-0.00371061606312491	0.00344616562328541
10	6.48443460802831e-05	-0.00219438639096364	-0.00577273196709181	0.00138401538260921
11	8.72032086115237e-05	0.00472851586696074	0.00115014442218554	0.00830676621827301
12	8.94717561152734e-05	0.00150616984203469	-0.00207223223237053	0.00508453334387479
13	8.99723160810542e-05	0.000707502585428307	-0.00287089558864661	0.00428588264053879
14	9.22568632001532e-05	0.00151147203698076	-0.002066930048064	0.00508983541367338
15	9.39126510709719e-05	-0.00128677423870759	-0.00486514274253141	0.00229162721904488
16	0.000104067243350766	-0.0031866270332761	-0.00676494079844393	0.000391768339825972
17	0.000109842936759116	0.00240326722565719	-0.00117513378606189	0.0059816066906278
18	0.000110399251600263	-0.000745865110032568	-0.00432424447440614	0.00283253335575904
19	0.000113204678544361	-0.00167494091967902	-0.00525330033930181	0.00190346139466333
20	0.000117430456992021	0.00205566985942902	-0.00152273224754346	0.00563401932140616
21	0.0001180773958918	-0.000804325177389783	-0.00438270346890571	0.00277407371268995
22	0.000118640509265702	0.000750408844548895	-0.00282798965509661	0.00432878812641259
23	0.000125103617532116	0.00254226440481138	-0.00103613592690956	0.00612059963016435
24	0.000131872432783535	-0.00260169471185726	-0.0061800280823019	0.000976705286921223
25	0.000135184202045729	-0.00181982670388344	-0.005398182456411	0.00175857565382027
26	0.000148869330952313	0.00369934164012195	0.000120952335482745	0.00727763620679519
27	0.000149584176954339	0.000845485611372618	-0.00273291356276609	0.00442386313284072
28	0.000151473162917044	0.00137440378582949	-0.00220399795954069	0.00495277033311102
29	0.000160238362443453	0.00296060793394676	-0.000617789516815458	0.00653892956490617
30	0.00016451638219426	0.00206833754404833	-0.00151006453819172	0.00564668665688077
31	0.000168162481931249	-0.00190947625641188	-0.00548782966465019	0.00166892605288241
32	0.000177346830725976	0.00303056907425538	-0.000547827772465001	0.00660888830953298
33	0.000187995503182388	-0.00326323033952533	-0.00684154135583734	0.000315164246452221
34	0.000188948178357074	0.000976050765788619	-0.00260234922918238	0.00455442576435469
35	0.000189811622799317	-0.000929217082069968	-0.00450759299963246	0.00264918263250117
36	0.000192310727085064	-0.00158085556975297	-0.00515921729024645	0.00199754663597572
37	0.00019232969276252	0.00013771588995965	-0.00344067671137905	0.00371610496442712
38	0.000193297134242104	-0.000983586093311483	-0.00456196094254921	0.00259481394530856
39	0.000200021002353024	-0.0025930422165206	-0.00617137585859461	0.000985357832303396
40	0.000200201424646804	0.000424761403002548	-0.00315363429617161	0.00400314622413983
