PC	r2	rho	lc	up
1	0.49315112328058	-0.702247195281391	-0.706662680438412	-0.697777015462297
2	0.730577998929971	0.487264694341856	0.480551869232875	0.493920422312131
3	0.735428704415915	0.0696470064979273	0.060918932059826	0.0783644309057479
4	0.814444908185969	-0.281098201207777	-0.289151025906682	-0.273005595785024
5	0.921924111617557	0.327840224486379	0.319994498737503	0.335640988387464
6	0.923606503115906	-0.0410169509469042	-0.0497643233445099	-0.0322632864995476
7	0.924823050348684	-0.0348790720627575	-0.0436309968940912	-0.0261217942432124
8	0.925165172218332	0.0184965291000987	0.00973284317031946	0.0272573738310221
9	0.926530143325178	-0.0369455334063192	-0.0456959992210791	-0.0281893983003145
10	0.927623136055443	0.0330604403902674	0.0243022188858898	0.0418135873892668
11	0.927648837338586	0.00506962761287989	-0.00369580050205712	0.0138342767503683
12	0.927654563488586	-0.00239292802378589	-0.0111579578756143	0.00637246952254421
13	0.927654664889304	0.000318425737396908	-0.0084468617245577	0.00908366427015256
14	0.927655599754275	-0.000966898083601485	-0.00973207948913093	0.00779843189506044
15	0.927661061885491	0.00233712589835536	-0.00642826967416561	0.0111021623507687
16	0.928460522323478	-0.0282747167719426	-0.0370308031157909	-0.0195142892166746
17	0.928666061238787	-0.014336634300982	-0.0230989954660118	-0.0055720706257582
18	0.928666083182802	-0.000148132644911923	-0.00891338495761961	0.00861714242981334
19	0.928666086118104	-5.41794289467399e-05	-0.00881943912666197	0.00871108859396337
20	0.928668518787749	0.00155972455526832	-0.00720563784190988	0.0103248472862192
21	0.928728211877526	-0.00772613374985272	-0.0164902808876682	0.00103920051251023
22	0.928756358449111	0.00530533886770655	-0.0034600859216547	0.0140699484632223
23	0.92876624608415	-0.00314446056771023	-0.0119093962066549	0.00562095824333104
24	0.928766320602049	-0.000272971492827626	-0.00903821375343066	0.00849231271249052
25	0.928793961286136	-0.00525745412258749	-0.0140220718298737	0.00350797142120428
26	0.928823713308073	-0.00545453362073708	-0.0142191176846956	0.00331088856029762
27	0.928828103283399	-0.00209522081217974	-0.0108602852473078	0.00667016557254071
28	0.928867448320225	-0.00627255495912101	-0.0150369921023215	0.00249284598508595
29	0.928869972091542	-0.00158865005134168	-0.0103537697617912	0.00717671376998522
30	0.928874593580995	-0.00214975688631293	-0.0109148151024578	0.00661563165930792
31	0.928890784884772	-0.00402386073997069	-0.0127886735669209	0.00474157038221117
32	0.928891626219972	-0.000917235911434284	-0.00968242195259522	0.00784809107180489
33	0.928892439355003	0.000901751559900399	-0.00786357448054336	0.00966693903758087
34	0.929055164024629	-0.012756351111872	-0.0215192088752646	-0.00399153353030697
35	0.929056601627986	0.00119899906104705	-0.00756634434381581	0.00996415822833634
36	0.929073452983498	-0.00410503472240027	-0.0128698355297173	0.00466039685270024
37	0.929088669247695	0.00390078527122857	-0.00486464494389257	0.0126656161019672
38	0.929173891161403	-0.00923156395916982	-0.0179953717120225	-0.000466337807829791
39	0.929198494739382	0.00496019480145539	-0.0038052345263508	0.0137248619659575
40	0.929202979845398	-0.0021178041686901	-0.010882866034865	0.00664758311718282
