PC	r2	rho	lc	up
1	0.000273343035638778	0.0165330891136164	0.0103361843496899	0.0227287239955413
2	0.00390468440063991	-0.0602606121579609	-0.0664337635337819	-0.0540828478003294
3	0.00653591438671807	-0.0512955155893208	-0.057475206554053	-0.0451118939843752
4	0.00740206733173832	0.0294304764370025	0.0232367511021253	0.0356219426010952
5	0.00755364953774627	0.0123118709372903	0.00611437358802543	0.0185084225148766
6	0.00824961499550318	-0.0263811575002011	-0.0325737953045743	-0.0201864942548906
7	0.00824962166838948	8.16871094579401e-05	-0.00611627991531365	0.00627964785824868
8	0.00832727065052271	-0.00881186594548225	-0.0150090101471156	-0.00261404478504065
9	0.0083497311111165	-0.00473924698719198	-0.0109368896586117	0.00145875979009127
10	0.00865071656462563	0.0173489321916301	0.0111521674343764	0.0235443644400314
11	0.00868953394555091	0.00623036049078955	3.23978137116835e-05	0.0124278445108809
12	0.00881947614831763	0.0113992193403048	0.00520162291697125	0.0175959400809583
13	0.00900880172914511	-0.0137595631867955	-0.0199558252566853	-0.00756224417649331
14	0.00908723506535565	0.00885625958318902	0.00265844157897681	0.0150533972186499
15	0.00941571712113204	0.0181240730859688	0.0119274489962214	0.0243193051693764
16	0.00943033650087424	-0.00382352939291137	-0.0100212558363532	0.00237449080613993
17	0.00949188842970931	-0.00784550344014108	-0.0140427845217694	-0.00164761962939866
18	0.00951338310820017	-0.00463623579142909	-0.0108338884053757	0.00156177301460275
19	0.00968112568088107	-0.0129515474179371	-0.0191479742764516	-0.00675412566524031
20	0.00974043738399091	0.00770140913628657	0.00150351697560935	0.0138987096365381
21	0.0100222388845801	-0.0167869441921644	-0.0229825169072128	-0.0105900821077917
22	0.0101665354861145	-0.012012350977719	-0.0182089592102755	-0.00581481997524502
23	0.0102905732034389	0.0111372216215452	0.00493959866450805	0.0173339890173921
24	0.0106484451567701	0.0189175044392378	0.0127210320522374	0.0251125239236907
25	0.0106679915836816	0.00442113438714669	-0.00177687823106374	0.0106188073383913
26	0.0106701329510071	-0.00146334010890986	-0.00766123455172432	0.00473466676137281
27	0.0107108778012167	0.00638317001147763	0.000185213410875112	0.0125806362162134
28	0.0107190788857868	0.00286375330237996	-0.00333426980717807	0.00906155639296871
29	0.0107291586779043	0.00317486874379738	-0.00302315467313694	0.00937264823956862
30	0.0109548406172048	-0.0150227143189266	-0.0212187025685444	-0.00882557214194245
31	0.0109553070776376	-0.000682979102696889	-0.0068809139033762	0.00551500817091028
32	0.0109576352737864	0.00152584225320769	-0.00467216586014054	0.00772373313711054
33	0.0109661172501881	-0.00291238335493107	-0.00911018283655199	0.00328563988178891
34	0.0113139246238813	-0.0186495942005305	-0.0248446863434943	-0.0124530697166463
35	0.0113547293235093	-0.0063878555781738	-0.0125853212320679	-0.000189899168467168
36	0.0114373885416173	0.00909171177775492	0.00289391092179226	0.0152888141796591
37	0.0116746798504822	-0.0154042627668984	-0.0216001644179345	-0.00920717789466884
38	0.0117617466830345	-0.00933095975908295	-0.0155280256556578	-0.0031331770318226
39	0.0118741620440355	-0.0106026106848939	-0.0167994706425617	-0.00440493622537239
40	0.0119217185835651	-0.00689612523506569	-0.0130935295204094	-0.000698191148969462
