q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast	test	testSize	gwas	gwasSize
36.2777972340803	3.62358927974454e-288	36.233691914759	1.79528863588369e-287	Educational_Attainment_6138	FALSE	0	east	t100000	1e+05	g50000	50000
7.63006257750786	2.34639788017988e-14	6.88812505354424	5.65325066094962e-12	Educational_Attainment_6138	FALSE	0	east	t1000	1000	g50000	50000
2.63353625276633	0.00845008143136958	2.96717917285191	0.00300545760599232	Educational_Attainment_6138	FALSE	0	east	t100	100	g50000	50000
33.6031370645762	1.50955249434345e-247	34.2319147638276	8.10574768837213e-257	Educational_Attainment_6138	FALSE	0	east	t50000	50000	g50000	50000
19.280766355108	7.79136109977396e-83	18.5722025359309	5.39440802641396e-77	Educational_Attainment_6138	FALSE	0	east	t5000	5000	g50000	50000
8.78328073513045	1.58774232453753e-18	7.54424897698397	4.54901333547668e-14	StandingHeight_50	FALSE	0	east	t100000	1e+05	g50000	50000
1.24322896807636	0.213783470845112	1.46276898036654	0.143530603698485	StandingHeight_50	FALSE	0	east	t1000	1000	g50000	50000
1.01113776052264	0.311950499675424	1.17336626926606	0.240648957687706	StandingHeight_50	FALSE	0	east	t100	100	g50000	50000
7.41161920969438	1.24766573540167e-13	6.41915758909048	1.37030501113122e-10	StandingHeight_50	FALSE	0	east	t50000	50000	g50000	50000
3.15987085493011	0.00157839084575482	2.1028777439614	0.0354764577964794	StandingHeight_50	FALSE	0	east	t5000	5000	g50000	50000
-1.62905438693188	0.103301506054753	-1.21333881213147	0.225000309694884	Educational_Attainment_6138	FALSE	10	east	t100000	1e+05	g50000	50000
-0.114462449347041	0.908871211793234	0.434147978179108	0.664180986998045	Educational_Attainment_6138	FALSE	10	east	t1000	1000	g50000	50000
1.31719720588366	0.1877725302596	1.34295321487579	0.179287123547719	Educational_Attainment_6138	FALSE	10	east	t100	100	g50000	50000
-1.82818421471719	0.0675219092610079	-1.80262000231703	0.0714479134740035	Educational_Attainment_6138	FALSE	10	east	t50000	50000	g50000	50000
0.569736982383156	0.568856102800824	0.616353402389535	0.537661300520333	Educational_Attainment_6138	FALSE	10	east	t5000	5000	g50000	50000
0.897647371929355	0.369373575198802	1.02293645029038	0.30633789390473	StandingHeight_50	FALSE	10	east	t100000	1e+05	g50000	50000
-0.462560474383507	0.643679445620712	-0.393735863411632	0.693776060581219	StandingHeight_50	FALSE	10	east	t1000	1000	g50000	50000
-0.042944239891744	0.965745982925657	-0.678690231752587	0.497334156772039	StandingHeight_50	FALSE	10	east	t100	100	g50000	50000
-0.0806078554578148	0.935753818785905	-0.0710896615787576	0.943326396218582	StandingHeight_50	FALSE	10	east	t50000	50000	g50000	50000
1.85143713223004	0.0641066912637688	1.99036684288627	0.0465505396409257	StandingHeight_50	FALSE	10	east	t5000	5000	g50000	50000
-30.0019972420939	9.24207062650782e-198	-29.9917032371361	1.25899149212537e-197	Educational_Attainment_6138	FALSE	0	north	t100000	1e+05	g50000	50000
-7.84557686261488	4.30967783361846e-15	-6.8902847921445	5.56808027806943e-12	Educational_Attainment_6138	FALSE	0	north	t1000	1000	g50000	50000
-1.5280424900322	0.126501988717985	-1.48164110395627	0.138435815891072	Educational_Attainment_6138	FALSE	0	north	t100	100	g50000	50000
-28.9373178095829	4.0526137488049e-184	-29.1047618619999	3.12481653164483e-186	Educational_Attainment_6138	FALSE	0	north	t50000	50000	g50000	50000
-18.3097384366963	6.92013848908542e-75	-17.2704432358032	7.85369012244511e-67	Educational_Attainment_6138	FALSE	0	north	t5000	5000	g50000	50000
-4.51558918296263	6.31409664437217e-06	-3.60275450260347	0.000314862872145226	StandingHeight_50	FALSE	0	north	t100000	1e+05	g50000	50000
-1.48065736862366	0.138697899626971	-1.45503405727634	0.145659833205242	StandingHeight_50	FALSE	0	north	t1000	1000	g50000	50000
-1.16672168844002	0.243322781210424	-0.723184621470915	0.469566465644619	StandingHeight_50	FALSE	0	north	t100	100	g50000	50000
-3.89478850959921	9.82844460663615e-05	-3.25625705013613	0.00112891497140024	StandingHeight_50	FALSE	0	north	t50000	50000	g50000	50000
