PC	r2	rho	lc	up
1	0.270347182359382	-0.51994921132682	-0.526315795163446	-0.513524330491714
2	0.404289936182928	-0.365981900148829	-0.373548846256876	-0.358366249364124
3	0.407871162766519	0.0598433480154795	0.0511048908287578	0.0685726426198644
4	0.443976665078439	-0.190014481968694	-0.198449223299993	-0.181551597183568
5	0.497056104670217	0.230389766296482	0.222072962568838	0.23867304736306
6	0.497505734437047	0.0212044895252785	0.012441538060158	0.0299641841797649
7	0.497550668984197	-0.00670332940865608	-0.0154676844684491	0.0020620556364556
8	0.49771648363601	0.0128768929692739	0.0041120932125829	0.0216397143944937
9	0.499577328034468	-0.0431374999957379	-0.0518831462638439	-0.0343852375658875
10	0.500144353912721	0.0238122998612094	0.0150501772646028	0.0325707655414981
11	0.500154228101471	-0.00314231701591054	-0.011907252937651	0.00562310174855877
12	0.500476997994549	-0.0179658000424692	-0.02672685511758	-0.00920198523885464
13	0.500477749444305	-0.000866860960425251	-0.00963205165958391	0.00789846294023016
14	0.500477749545179	-1.00381387735605e-05	-0.00877530125270204	0.00875522651761233
15	0.500546232520408	0.00827544105213891	-0.0004898583664759	0.0170394689560242
16	0.500922205941707	0.0193900332340862	0.0106265754276079	0.0281505126939505
17	0.500964412728153	-0.00649668732246078	-0.0152610821634492	0.00226870575543438
18	0.500969772291357	-0.00231507355656543	-0.0110801126024053	0.00645032122088082
19	0.50097548371992	0.00238986769148326	-0.00637552974801282	0.0111548979067193
20	0.500981175593942	-0.00238576435709938	-0.0111507950593397	0.00637963293889458
21	0.501013574676169	-0.00569201488818588	-0.0144565575074778	0.00307340233608235
22	0.501041872689758	0.0053196023043561	-0.0034458222525124	0.0140842094758492
23	0.501048564582605	0.00258687268449139	-0.0061785312974089	0.0113518791709657
24	0.501068125758242	0.00442280041966955	-0.00434263181723401	0.0131875530636716
25	0.501113087945413	-0.00670537598817804	-0.0154697306502361	0.00206000897363311
26	0.501162927304157	-0.00705969657658322	-0.0158239812730254	0.00170567285666994
27	0.501208804169887	-0.00677324707604947	-0.0155375885063678	0.00199213508165217
28	0.501225063022812	-0.00403223802005484	-0.0127970496119048	0.00473319315421447
29	0.501246487678576	0.00462868381493187	-0.00413674790573494	0.0133934043086601
30	0.501251705135061	-0.00228418547564888	-0.0110492281396955	0.00648120817382611
31	0.501469313949304	-0.014751575128289	-0.0235137986460991	-0.00598708538106211
32	0.501482843146066	-0.00367820709974753	-0.0124430698155448	0.00508722080061047
33	0.501502949235642	0.0044839886476578	-0.00428144351342874	0.0132487318142373
34	0.501503475735389	0.000725602862357585	-0.00803971215706059	0.00949080638591487
35	0.501504208259752	-0.000855883581157727	-0.00962107528945402	0.00790943964185825
36	0.501682063956623	-0.0133362457179193	-0.02209892633421	-0.0045715162225271
37	0.501688638109724	0.00256401499415772	-0.00620138826354462	0.0113290242686701
38	0.501700294504904	-0.00341415048708976	-0.0121790499037356	0.00535127354078779
39	0.501723281455821	0.00479446760903369	-0.00397096315583499	0.0135591616743719
40	0.501728026577673	0.00217832797807866	-0.00658706167881138	0.0109433829153289
