PC	r2	rho	lc	up
1	0.51880086234525	0.720278322834479	0.716033687203087	0.724469698303926
2	0.800505460784464	0.530758507460758	0.524433031048269	0.53702540116572
3	0.800553134779223	-0.00690463305796674	-0.0156689486446506	0.00186074344199867
4	0.856297278312582	0.236101978361592	0.227808162589684	0.244361536989005
5	0.9452681232176	-0.298279825618405	-0.306244413062826	-0.290273482153026
6	0.946313087279922	-0.0323259186007992	-0.0410795427952871	-0.0235673324054352
7	0.946559661487524	0.0157026882517257	0.00693837935177355	0.0244645848761871
8	0.946564460499321	0.00219067833662012	-0.00657471179620581	0.010955731852081
9	0.9465649214338	-0.000678930520776942	-0.00944413820470195	0.00808638148736148
10	0.946565317859876	0.000629628472409709	-0.00813568031330894	0.00939484050964327
11	0.946575934915777	-0.00325838887218345	-0.0120233093648338	0.00550703229821451
12	0.946580537284028	0.00214531135311851	-0.00662007701830735	0.0109103700781582
13	0.946594733622943	0.0037678020768797	-0.0049976268596832	0.0125326520623168
14	0.946631353527136	-0.00605144456249604	-0.0148159225748375	0.00271396327896454
15	0.946646784400384	-0.00392820905864415	-0.0126930359007506	0.00483722138158215
16	0.946795340335469	-0.012188351010735	-0.0209513765750439	-0.0034234528662448
17	0.946797989394894	0.00162761042641398	-0.00713775528994747	0.0103927260453049
18	0.946801608140688	0.00190230016676771	-0.00686307815535615	0.0106673861830726
19	0.946803524549845	0.00138433197919111	-0.00738102146842284	0.0101494727111733
20	0.946865608838756	0.00787935910671652	-0.000885965968263809	0.0166434735168869
21	0.946882119742965	0.00406335361515933	-0.00470207774180611	0.0128281606087274
22	0.946971643416497	0.00946167271692211	0.00069646659168259	0.0182254250944975
23	0.946996200928794	-0.00495555758805294	-0.0137202255118139	0.00380987178651178
24	0.947002275556756	0.00246467797462953	-0.00630072202939211	0.0112296992592685
25	0.947237249218112	0.0153288354328416	0.00656445355523357	0.0240908624395844
26	0.947831115605666	-0.024369377544738	-0.0331275652495053	-0.0156074474722964
27	0.948145927301146	-0.0177429301873625	-0.0265040721212727	-0.00897906273831539
28	0.948150505385529	0.00213966011363172	-0.00662572803585429	0.0109047194850874
29	0.948153080386994	-0.00160468856839814	-0.0103698065977293	0.00716067603626531
30	0.948165890846759	-0.0035791548014814	-0.0123440314276506	0.00518627178950316
31	0.948165923408824	-0.000180439299513764	-0.00894568903706954	0.0085848381642901
32	0.948196048850545	-0.00548866079598426	-0.0142532389649657	0.00327676073357405
33	0.948198899938932	-0.00168852895514748	-0.0104536381231426	0.00707683967096397
34	0.948199931323129	-0.00101557085142795	-0.00978074767173186	0.0077497620210294
35	0.948202637045789	0.00164491687871368	-0.00712044967089932	0.0104100306715732
36	0.948204376983386	-0.00131907991751771	-0.0100842272088804	0.00744627006291933
37	0.948220047451891	0.00395858842603368	-0.0048068422481659	0.0127234108342466
38	0.948222794661937	0.00165747726714857	-0.00710788988391977	0.0104225897314536
39	0.948222841580124	-0.000216601299256601	-0.00898184813265158	0.00854867881702791
40	0.948254563082355	0.0056321858924437	-0.00313323267376021	0.0143967390460928
