varE	testSize	gwasSize	contrast
0.76905268304202	tp1_50000	gp300000	sharp
0.223125530869174	tp1_50000	gp300000	smooth
0.778936283139293	tp2_50000	gp300000	sharp
0.233510521757439	tp2_50000	gp300000	smooth
0.798104905495179	tp3_50000	gp300000	sharp
0.242473858614212	tp3_50000	gp300000	smooth
0.785608378118563	tp4_50000	gp300000	sharp
0.240167503614907	tp4_50000	gp300000	smooth
0.792142582899339	tp5_50000	gp300000	sharp
0.238648058607714	tp5_50000	gp300000	smooth
0.752676776125394	tp6_50000	gp300000	sharp
0.229803840075598	tp6_50000	gp300000	smooth
0.772697237381589	tp7_50000	gp300000	sharp
0.228824472929205	tp7_50000	gp300000	smooth
0.774556055796981	tp8_50000	gp300000	sharp
0.222314745826049	tp8_50000	gp300000	smooth
0.770637173502624	tp9_50000	gp300000	sharp
0.234110658618144	tp9_50000	gp300000	smooth
0.804535806599363	tp10_50000	gp300000	sharp
0.235759095887658	tp10_50000	gp300000	smooth
0.769996325700338	tp11_50000	gp300000	sharp
0.224001788263183	tp11_50000	gp300000	smooth
0.780025870155977	tp12_50000	gp300000	sharp
0.229226004248867	tp12_50000	gp300000	smooth
0.756588058133664	tp13_50000	gp300000	sharp
0.221148272253618	tp13_50000	gp300000	smooth
0.793389645233206	tp14_50000	gp300000	sharp
0.233805749511375	tp14_50000	gp300000	smooth
0.763365051631023	tp15_50000	gp300000	sharp
0.237626877936048	tp15_50000	gp300000	smooth
0.776453573472402	tp16_50000	gp300000	sharp
0.228077056969449	tp16_50000	gp300000	smooth
0.774180619516731	tp17_50000	gp300000	sharp
0.242906091769835	tp17_50000	gp300000	smooth
0.772997018981032	tp18_50000	gp300000	sharp
0.240642351484449	tp18_50000	gp300000	smooth
0.758359488427126	tp19_50000	gp300000	sharp
0.230614684981393	tp19_50000	gp300000	smooth
0.824247949448264	tp20_50000	gp300000	sharp
0.235130361673065	tp20_50000	gp300000	smooth
0.764008820166089	tp21_50000	gp300000	sharp
0.229240237653401	tp21_50000	gp300000	smooth
0.784405090373316	tp22_50000	gp300000	sharp
0.238513603020891	tp22_50000	gp300000	smooth
0.759706057909529	tp23_50000	gp300000	sharp
0.223151402495008	tp23_50000	gp300000	smooth
0.74989870406703	tp24_50000	gp300000	sharp
0.217332105179571	tp24_50000	gp300000	smooth
0.781183921287834	tp25_50000	gp300000	sharp
0.23832261955064	tp25_50000	gp300000	smooth
0.799745107017163	tp26_50000	gp300000	sharp
0.231898158899975	tp26_50000	gp300000	smooth
0.776859769337663	tp27_50000	gp300000	sharp
0.23204527062379	tp27_50000	gp300000	smooth
0.729565791799875	tp28_50000	gp300000	sharp
0.234919952022474	tp28_50000	gp300000	smooth
0.795712285852029	tp29_50000	gp300000	sharp
0.227847253987732	tp29_50000	gp300000	smooth
0.740736447039542	tp30_50000	gp300000	sharp
0.231479025816697	tp30_50000	gp300000	smooth
0.782731285569735	tp31_50000	gp300000	sharp
0.215532728351222	tp31_50000	gp300000	smooth
0.769718608001519	tp32_50000	gp300000	sharp
0.248056562523304	tp32_50000	gp300000	smooth
0.776982716587611	tp33_50000	gp300000	sharp
0.232935942608793	tp33_50000	gp300000	smooth
0.778327945750431	tp34_50000	gp300000	sharp
0.228783089320221	tp34_50000	gp300000	smooth
0.784366306208895	tp35_50000	gp300000	sharp
0.230487715707809	tp35_50000	gp300000	smooth
0.792641570197297	tp36_50000	gp300000	sharp
0.248213918507622	tp36_50000	gp300000	smooth
0.749265196560887	tp37_50000	gp300000	sharp
0.222808344003247	tp37_50000	gp300000	smooth
0.765261507279102	tp38_50000	gp300000	sharp
0.238633049277316	tp38_50000	gp300000	smooth
0.7936685706603	tp39_50000	gp300000	sharp
0.236698413596358	tp39_50000	gp300000	smooth
0.776234142155304	tp40_50000	gp300000	sharp
0.232313287164758	tp40_50000	gp300000	smooth
0.758235094634596	tp41_50000	gp300000	sharp
0.231908528896603	tp41_50000	gp300000	smooth
0.802601095695461	tp42_50000	gp300000	sharp
0.23083336409881	tp42_50000	gp300000	smooth
0.785066259134531	tp43_50000	gp300000	sharp
0.235664986965567	tp43_50000	gp300000	smooth
0.793573326220341	tp44_50000	gp300000	sharp
0.243357406323357	tp44_50000	gp300000	smooth
0.785401126037576	tp45_50000	gp300000	sharp
0.229746195743685	tp45_50000	gp300000	smooth
0.787166471735818	tp46_50000	gp300000	sharp
0.228591352894598	tp46_50000	gp300000	smooth
0.775621922965128	tp47_50000	gp300000	sharp
0.23706024930686	tp47_50000	gp300000	smooth
0.779307531619589	tp48_50000	gp300000	sharp
0.238498833755532	tp48_50000	gp300000	smooth
0.787388594264787	tp49_50000	gp300000	sharp
0.239603126793213	tp49_50000	gp300000	smooth
0.747524690798504	tp50_50000	gp300000	sharp
0.231965162070336	tp50_50000	gp300000	smooth
