PC	r2	rho	lc	up
1	7.38911764275283e-07	0.000859599769809112	-0.00271879949894343	0.00443797702443159
2	1.24658105304055e-06	0.000712509150253327	-0.00286588906249014	0.00429088911581562
3	4.43216760781767e-06	0.00178482115140883	-0.00179358120958251	0.00536317780369918
4	7.40825649607116e-06	-0.00172513445032755	-0.00530349261654693	0.00185326789604468
5	1.56055254524028e-05	-0.00286308730471384	-0.00644141221663262	0.000715310929591087
6	1.5633751834182e-05	-0.000168007109745466	-0.00374639576319943	0.00341038584633063
7	1.70953325130582e-05	0.00120895851141919	-0.00236944264485737	0.0047873287066001
8	1.81925584815349e-05	-0.00104748553551406	-0.00462585910211636	0.00253091485691507
9	1.82130164645181e-05	-0.000143031391401533	-0.00372142039246464	0.00343536127266152
10	2.11084444578163e-05	-0.00170159570613699	-0.00527995446239717	0.00187680662745968
11	2.26729092682038e-05	0.00125078565252671	-0.00232761567118431	0.00482915494396378
12	2.27578791914318e-05	0.000291496002830397	-0.00328689833145815	0.00386988287197604
13	2.59834871091965e-05	0.00179599774304547	-0.00178240461784922	0.00537435410901206
14	2.77263150448452e-05	0.00132016208595369	-0.00225823948786491	0.00489852985079313
15	3.0374445434418e-05	-0.00162730769818815	-0.00520566829060571	0.00195109456908346
16	3.08353036294639e-05	-0.000678865348904484	-0.00425724591277741	0.00289953260054109
17	3.62376236414613e-05	0.00232428915116619	-0.00125411218532348	0.00590263096348324
18	4.28870131576875e-05	0.00257864105630642	-0.000999759074624962	0.00615697514929073
19	4.42889956167702e-05	0.0011840533949568	-0.00239434765567713	0.00476242412230648
20	5.15578154902795e-05	-0.00269607489795121	-0.00627440527070561	0.000882324520140352
21	6.14371620846978e-05	-0.00314314276820318	-0.00672145807508812	0.000435253033027741
22	6.24737356170345e-05	-0.00101812255679354	-0.00459649671641934	0.00256027767668256
23	6.4082356749226e-05	-0.00126831430049419	-0.00484668320947317	0.00231008708966113
24	6.76967911798687e-05	-0.00190116654175604	-0.00547952016970766	0.00167723577444407
25	7.02323249100795e-05	0.00159233589148097	-0.00198606633089431	0.00517069733461494
26	7.91537926534269e-05	-0.00298688267746156	-0.00656520341280126	0.000591514550553049
27	8.18686134974219e-05	-0.00164767133599335	-0.00522603142901747	0.00193073095338854
28	8.1964957714546e-05	-0.000310393601067357	-0.00388878018753051	0.00326800093450157
29	8.44871049161186e-05	-0.00158812699590006	-0.00516648854082859	0.0019902752204818
30	0.000101225498281427	0.00409125817186587	0.000512874774645856	0.0076695367946877
31	0.000101647302284235	-0.000649464396838758	-0.00422784547693615	0.00292893331588087
32	0.000102249069067475	-0.000775736330460497	-0.00435411514969403	0.00280266235518462
33	0.000102551796076745	0.000550206370325787	-0.00302819049750638	0.0041285891475075
34	0.00010255182195939	5.08751468606187e-06	-0.00357330345613513	0.00358347835521721
35	0.000104067927270008	-0.00123130230389794	-0.00480967201786239	0.00234709894337883
36	0.000108285072874826	0.00205356897388711	-0.00152483313707612	0.0056319184936575
37	0.000108367702830593	0.000287454255642836	-0.00329094003526485	0.00386584118491578
38	0.00011031385303577	0.00139504492704363	-0.0021833568780778	0.00497341100546471
39	0.000111547934384536	0.00111089207831375	-0.00246750863631044	0.00468926434329027
40	0.000112210771997478	0.000814148408271896	-0.00276425055070207	0.00439252651711195
