PC	r2	rho	lc	up
1	0.100904905728383	0.317655325358135	0.314434350383457	0.320868986115017
2	0.11454415147345	0.116787184563389	0.113256124547185	0.120315294480481
3	0.218401302822122	0.322268758329838	0.319058306609954	0.325471813969984
4	0.233958204042723	0.124727308961841	0.121203013757034	0.128248459621634
5	0.2369211575458	0.054433015625452	0.0508645322459332	0.0580001091186973
6	0.237828318750068	-0.0301191186717183	-0.0336938781193534	-0.0265435885803178
7	0.238331557533525	-0.0224329869802275	-0.026009290016338	-0.018856109729747
8	0.238538248190157	-0.0143767397212835	-0.0179542069621982	-0.0107989043715719
9	0.238566785718089	0.00534205237889142	0.00176369518783457	0.00892027276515732
10	0.23911120215968	-0.0233327334192321	-0.0269088776048324	-0.0197559920131695
11	0.239774353262099	-0.025751718828832	-0.0293274072223406	-0.0221753713772481
12	0.239774630559938	0.000526589919256565	-0.0030518067371677	0.00410497308984157
13	0.239987321442137	-0.0145839269547162	-0.0181613700732178	-0.0110061104247395
14	0.240003627409613	-0.00403806365469915	-0.00761634450603962	-0.000459679391191961
15	0.240011047107944	-0.00272391374499194	-0.00630224322135804	0.000854485489641888
16	0.240160876941737	-0.012240497281095	-0.0158181953295954	-0.00866248580332837
17	0.240176843807749	0.00399585815046785	0.000417473214041041	0.00757414075554858
18	0.240177836983872	0.000996580798152503	-0.00258181931478586	0.00457495538891821
19	0.24026402018848	0.00928349076893312	0.00570528939264371	0.0128614544177142
20	0.240375519635043	-0.0105593301058139	-0.0141371868321704	-0.00698120298766807
21	0.240390186153153	0.00382968840334954	0.000251300941439552	0.00740797778928579
22	0.240395418984286	0.00228753977290162	-0.00129086169948866	0.00586588266224712
23	0.24039789609493	0.00157388059277733	-0.00200452160237694	0.00515224248132256
24	0.240402659461352	0.00218251224138869	-0.00139588956611283	0.00576085815553532
25	0.240441816646602	0.00625757264588035	0.00267924173380244	0.00983574330928121
26	0.240478421742493	-0.00605021592811861	-0.00962839837869994	-0.00247187853861326
27	0.240611475436059	0.0115348909987933	0.00795682852185591	0.0151126581092109
28	0.240738059366824	-0.0112509517852034	-0.0148287456811698	-0.00767286979150149
29	0.240754121140437	0.00400771559487135	0.000429330846210513	0.00758599770853433
30	0.240758253167904	-0.00203273920648479	-0.005611089297552	0.00154566294233653
31	0.240763429672655	-0.00227519599170701	-0.00585353924064815	0.00130320552416253
32	0.240780394198703	-0.00411880197476889	-0.00769707943571978	-0.000540419034065218
33	0.240828259830049	0.0069184992916017	0.0033401910792606	0.0104966303312968
34	0.240828394267408	-0.000366655886229246	-0.00394504161595317	0.00321173923346375
35	0.240831092085925	-0.00164250648518286	-0.00522086670514956	0.00193589579887208
36	0.240831119610916	-0.00016590751391486	-0.00374429619676262	0.00341248541778489
37	0.240852834741449	0.00465995593961535	0.00108158306939994	0.00823820947205525
38	0.240877212589753	-0.00493739205771348	-0.00851563250997823	-0.00135902516309097
39	0.240963393897625	-0.00928338683475935	-0.0128613504917762	-0.00570518545289521
40	0.241071578320334	-0.0104011755068951	-0.0139790461199504	-0.00682303855101754
