PC	r2	rho	lc	up	test	gwas	contrast	chrtype_gwas	chrtype_test
1	0.00524833988007795	0.0724454269093498	0.0693954423878216	0.0754940570878425	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
2	0.00580826471075921	0.0236627309480017	0.020598829660289	0.0267261877839482	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
3	0.00583774001551051	0.0054291164839499	0.00236376038582226	0.00849437055407895	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
4	0.00583864441485385	-0.000950998903570146	-0.00401638263180814	0.00211440269705783	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
5	0.00619287148691967	0.0188209212427623	0.0157564348509305	0.0218850540526971	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
6	0.00636428298279928	0.013092421529549	0.0100274285280953	0.0161571685233939	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
7	0.00637196093579316	0.00277091190768483	-0.000294486030409289	0.00583625777160455	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
8	0.00637299748295078	-0.00101810949975913	-0.00408349219230204	0.00204729232639955	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
9	0.00649543585272013	0.0110651874254915	0.00800006334429318	0.014130103580782	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
10	0.00660329604540321	0.0103855760842366	0.00732041369942985	0.0134505433108652	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
11	0.00695171796461894	-0.0186660637968245	-0.0217302158552455	-0.0156015610637214	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
12	0.00705348207465748	0.0100878196324009	0.00702264135788974	0.0131528083428003	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
13	0.00728386600069472	0.0151784031697368	0.0121135713509093	0.0182429498020217	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
14	0.00729825149923126	0.00379282227104535	0.000727435291824598	0.0068581379716509	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
15	0.00737317678902823	0.0086559396734058	0.00559069257941327	0.0117210241059297	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
16	0.00754629430552497	-0.013157412813276	-0.0162221539671887	-0.0100924244309851	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
17	0.0075566657387072	0.00322047087963495	0.000155076973810194	0.00628580426281729	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
18	0.00870355969376811	0.0338658230338568	0.030803625387362	0.0369273849597693	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
19	0.00918400290879232	0.0219190151648619	0.0188548865964121	0.0249827320006272	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
20	0.00958188195321848	-0.0199469059091779	-0.0230108943412389	-0.0168825427581135	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
21	0.00982436200898569	0.0155717709038664	0.0125069724703839	0.0186362767633721	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
22	0.010171039694958	0.0186192831005426	0.0155547754598448	0.0216834409448054	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
23	0.010216325915243	0.00672950343486085	0.00366418358505125	0.0097946968208318	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
24	0.0102323206715383	-0.0039993442709873	-0.0070646530981135	-0.00093396028419311	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
25	0.0102325186459619	-0.000444943313288222	-0.00351033396219548	0.00262045569756982	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
26	0.010232731328849	0.000461175726445713	-0.00260422339185559	0.00352656617773583	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
27	0.0104025656503396	0.0130320498669362	0.00996705259785531	0.0160968022624101	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
28	0.0104381961306051	0.00596912754963666	0.00290378524558627	0.00903435767808899	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
29	0.0105116048607586	0.00856788976398334	0.00550263884837876	0.0116329796724993	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
30	0.0105135840635591	0.00140684115941687	-0.00165856142991712	0.00447221730961752	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
31	0.0105166857044405	0.0017611476157735	-0.00130425486214212	0.00482651699601916	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
32	0.0105965556312311	-0.00893699780433292	-0.0120020644393365	-0.00587176322707758	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
33	0.0105965837078754	-0.000167561618866407	-0.00323295539502996	0.00289783530633255	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
34	0.0106055798365372	0.00299935475370706	-6.60412902375557e-05	0.00606469443038998	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
35	0.010624246326617	0.00432047403384159	0.00125509521952698	0.00738577165371422	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
36	0.0106608274446701	0.0060482327816792	0.00298289264843332	0.00911345925283982	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
37	0.0106896360999556	0.0053673695961423	0.0023020120346529	0.00843262628995934	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
