PC	r2	rho	lc	up	test	gwas	contrast	chrtype_gwas	chrtype_test
1	0.0106762636511236	0.103326006654296	0.100292377330632	0.106357714872853	UK10K	WBS	sds	chr-even	test-even
2	0.0109319872365624	-0.0159913595542022	-0.0190558208776474	-0.0129265977772176	UK10K	WBS	sds	chr-even	test-even
3	0.0361592033302356	-0.158830777932148	-0.161817387857952	-0.155841258353539	UK10K	WBS	sds	chr-even	test-even
4	0.0383338900986103	0.0466335365906688	0.0435743701201639	0.0496918285690798	UK10K	WBS	sds	chr-even	test-even
5	0.0383544900390318	-0.00453871453715523	-0.00760400417973578	-0.00147333959891528	UK10K	WBS	sds	chr-even	test-even
6	0.044520826552999	-0.0785260245206382	-0.0815717845425357	-0.0754787978356987	UK10K	WBS	sds	chr-even	test-even
7	0.0445623376918402	0.00644291440921734	0.00337758568005894	0.00950812205978916	UK10K	WBS	sds	chr-even	test-even
8	0.052113379641591	-0.0868967324153723	-0.0899381707655174	-0.08385367332032	UK10K	WBS	sds	chr-even	test-even
9	0.0535975098579067	-0.0385244109376684	-0.0415848955079185	-0.0354632034411706	UK10K	WBS	sds	chr-even	test-even
10	0.0575615802869893	-0.0629608645666048	-0.0660135193976113	-0.0599070311836972	UK10K	WBS	sds	chr-even	test-even
11	0.0583168446976502	0.0274820749758186	0.0244187366571358	0.0305448972057411	UK10K	WBS	sds	chr-even	test-even
12	0.060015891478704	-0.041219496023874	-0.0442792965919435	-0.0381589221216719	UK10K	WBS	sds	chr-even	test-even
13	0.0604972515685983	-0.0219399208939256	-0.0250036347228865	-0.0188757949399594	UK10K	WBS	sds	chr-even	test-even
14	0.0607958361815151	-0.0172796013335652	-0.020343919177101	-0.0142149588462876	UK10K	WBS	sds	chr-even	test-even
15	0.060799805185043	0.00199223571953159	-0.00107316627103164	0.00505760026956312	UK10K	WBS	sds	chr-even	test-even
16	0.061678057541493	0.0296353228105675	0.0265723413111508	0.0326977478536544	UK10K	WBS	sds	chr-even	test-even
17	0.0619643430449755	-0.0169199734592932	-0.0199843323804749	-0.0138552966470346	UK10K	WBS	sds	chr-even	test-even
18	0.065646129774313	-0.0606777283373248	-0.0637312696794229	-0.0576230508590034	UK10K	WBS	sds	chr-even	test-even
19	0.0684637443953845	-0.0530812073812511	-0.0561374684159505	-0.0500239515863278	UK10K	WBS	sds	chr-even	test-even
20	0.06867493509633	0.0145324015953966	0.0114675170085231	0.0175970131281891	UK10K	WBS	sds	chr-even	test-even
21	0.0689255317067082	-0.0158302429094353	-0.0188947214617909	-0.0127654669291539	UK10K	WBS	sds	chr-even	test-even
22	0.0716256183842926	-0.0519623576017622	-0.0550189893292277	-0.0489047519669353	UK10K	WBS	sds	chr-even	test-even
23	0.0718701880759876	-0.0156387234700556	-0.0187032222954314	-0.0125739308133627	UK10K	WBS	sds	chr-even	test-even
24	0.0718701942912917	7.88360047188317e-05	-0.00298656015377107	0.00314423068162019	UK10K	WBS	sds	chr-even	test-even
25	0.0719447916357065	0.00863697498238741	0.00557172706125781	0.0117020605983775	UK10K	WBS	sds	chr-even	test-even
26	0.0719481601381169	0.00183534680758851	-0.00123005554952964	0.00490071467260268	UK10K	WBS	sds	chr-even	test-even
27	0.0727528857148947	-0.0283676850571552	-0.0314303473683397	-0.0253044900526146	UK10K	WBS	sds	chr-even	test-even
28	0.0737991498939462	-0.0323460072037567	-0.0354078918310808	-0.0292835153242737	UK10K	WBS	sds	chr-even	test-even
29	0.0739387971442251	-0.0118172436105461	-0.0148820999502971	-0.00875216521682344	UK10K	WBS	sds	chr-even	test-even
30	0.0745448700275946	0.0246185477279209	0.0215547789351511	0.0276818541373832	UK10K	WBS	sds	chr-even	test-even
31	0.0748315448484172	-0.016931474725307	-0.0199958323450552	-0.013866798998521	UK10K	WBS	sds	chr-even	test-even
32	0.0761155484485402	0.0358329975244866	0.0327712017521462	0.0388941207412792	UK10K	WBS	sds	chr-even	test-even
33	0.076119882446363	-0.00208182510197937	-0.00514718769134527	0.000983576611577256	UK10K	WBS	sds	chr-even	test-even
34	0.0765137579540539	0.0198462969505224	0.0167819224713653	0.0229102985992046	UK10K	WBS	sds	chr-even	test-even
35	0.0769602122467559	-0.0211294652214588	-0.0241932936545534	-0.0180652398733019	UK10K	WBS	sds	chr-even	test-even
36	0.0769625078495487	-0.00151512606320819	-0.00458050022600296	0.00155027657373739	UK10K	WBS	sds	chr-even	test-even
37	0.0776576986925021	-0.0263664717591098	-0.0294294885968116	-0.0233029597529102	UK10K	WBS	sds	chr-even	test-even
38	0.0801534024634064	-0.049957020581985	-0.0530142975140242	-0.0468988071358401	UK10K	WBS	sds	chr-even	test-even
39	0.0806738808907025	0.0228139957370809	0.0197499814939284	0.0258775814531578	UK10K	WBS	sds	chr-even	test-even
40	0.0828649501972733	-0.0468088596832423	-0.0498670998062844	-0.043749741794784	UK10K	WBS	sds	chr-even	test-even
1	0.00616707702431842	0.0785307393593007	0.0754835149007731	0.0815764970678182	UK10K	WBS	sds	chr-even	test-odd
2	0.0061933050903464	-0.00512133427921878	-0.00818660119521192	-0.00205597111898682	UK10K	WBS	sds	chr-even	test-odd
3	0.0293227833753968	-0.152083786889451	-0.155076885955519	-0.149087895774449	UK10K	WBS	sds	chr-even	test-odd
4	0.0320164077196178	0.0519001379311093	0.0488425130669187	0.054956790047791	UK10K	WBS	sds	chr-even	test-odd
5	0.0320322851089968	0.0039846453758238	0.000919261167404739	0.0070499547008024	UK10K	WBS	sds	chr-even	test-odd
6	0.0387729172715749	-0.0821013529700435	-0.0851453196191665	-0.0790558537660943	UK10K	WBS	sds	chr-even	test-odd
7	0.0393592612593139	-0.0242145402935811	-0.027277910968976	-0.0211507148139314	UK10K	WBS	sds	chr-even	test-odd
8	0.0395688819956465	-0.0144782859080907	-0.0175429027614894	-0.0114133970169812	UK10K	WBS	sds	chr-even	test-odd
